"Company","Vessel Name","IMO"
"Giuseppe Bottiglieri Shipping Company SpA","Alessandra Bottiglieri","9239460"
"Euronav NV","Alex","9722924"
"Troyan Maritime Ltd","Alex A","9254836"
"Alexandra Transportation Corp.","Alexandra","9354844"
"Z. & G. Halcoussis Co. Ltd.","Alexandria","9592616"
"Sorrel Shipmanagement Inc.","Alexandros Il","9384021"
"Sterling Ocean Chemical Tankers | LLC","Alfred N","9749324"
"Algoma Shipping Ltd.","Algoma Integrity","9405162"
"Algoma Shipping Ltd.","Algoma Vision","9640944"
"Executive Ship Management Pte. Ltd.","Alhani","9331153"
"Super-Eco Tankers Management Inc.","Alhena","9538141"
"TB Marine Shipmanagement GmbH & Co. KG","Alia","9259903"
"Jillian Navigation Ltd.","Aliakmon","9323962"
"Productivity Co., Ltd.","Aliakmon","9305051"
"Armide Owning Co., Ltd.","Alicante","9527855"
"Alice Shipping BV","Alice |","9323792"
"Buchanan Maritime Corporation","Alice Oldendorff","9183776"
"Konkar Shipping Agencies SA","Aliki Perrotis","9715799"
"Executive Ship Management Pte. Ltd.","Aljalaa","9343338"
"Hercules Product Carrier SA","Alkaios","9710488"
"Brujo Finance Company","Alkimos","9430739"
"Adrian Shipholding Inc.","Alkiviadis","9327437"
"Stallion Eight Shipping Co. SA","Alkyon","9655224"
"Commercial Shipping and Trading Company Ltd.","Alkyonis","9709465"
"Olympic Tug & Barge, Inc.","All Aboard For A Cure","1279842"
"Freeman Shipping Co.","Allegra","9519169"
"Minos Societa di Navigazione Srl","Allegra","9436707"
"Team Tankers Deep Sea Ltd.","Allegro","9484912"
"Ocean Fox Shipping SA","Alma","9706530"
"Z. & G. Halcoussis Co. Ltd.","Almar","9572070"
"Hudson Almere Limited","Almere","9439369"
"Bianca Marine Services SA","Almi Atlas","9816323"
"Vicky International Corp.","Almi Explorer","9579547"
"Alberta Seaway SA","Almi Horizon","9579494"
"Bryan Investment Inc.","Almi Navigator","9579561"
"Ariel Navigation Ltd.","Almi Odyssey","9579559"
"Merlin Seaways SA","Almi Sky","9579523"
"Verna Marine Co. Ltd.","Almi Sun","9579535"
"Daisy Seaways SA","Almi Titan","9816335"
"Marva Navigation Co., Ltd.","Almi Voyager","9579585"
"Energetic Tank Inc.","Alnic MC","9396725"
"Eletson Corporation","Alonissos","9250531"
"Bright Charter Shipping Limited","Alpha Bulker","9336763"
"Graig Ship Management Ltd.","Alpine","9715270"
"Amalia Marine Limited","Alpine Amalia","9460136"
"Transpetrol TM AS","Alpine Confidence","9389978"
"Blizzard Navigation Inc.","Alpine Duke","9470909"
"Transpetrol TM AS","Alpine Eternity","9430272"
"Ishima Pte. Ltd.","Alpine Hibiscus","9470959"
